verkoop_productnaam,product_naam,product_groep_naam,koper_naam,eindklant_naam,is_ingepakt,handel_type,status,STICKER_AFGEDRUKT,AFLEVERDATUM,BRIEFNR,AANTAL_STUKS,bedrag,BESTELNR,BESTELDATUM,KOPER,PRODUKT,OPMERKINGNR,SORT1,SORT2,SORT3,SORT4,AANTAL_STUKS0,AANTAL_FUST,FUSTCD,STUKS_PER_FUST,PRIJS,DC,PL,STW,AFLEVERDATUM0,AFLEVERTIJD,AFLEVERLOKATIE,OPMERKING,ETIKET,HOES,STICKER,BESTELD_DOOR,INGEVOERD_DOOR,BESTELNR_BB,BESTELNR_KLANT,MUNT,ORDERNR,BRIEFNR0,REGELNR,VEILING,VERVOERDER,REGCD,BESTELNR_KOP,LL,EENH_REST,KARNR,LOCATIENR,TUIN,KARTYPE,INVOERDER,BESTELVOLGNR,BEELDV_REF,OS,BESTELTIJD,SORT5,SORT6,SORT7,SORT8,SORT9,SORT10,SK1,SK2,SK3,SK4,SK5,SK6,SK7,SK8,SK9,SK10,ARTIKEL_CD,AFLEVERLOCATIE_EAN,FE_ID,FE_VOLGNR,KEUR1,KEUR2,SRVCD_2,EENH_AFTEL,TEELTID,OPMERKING_2,STANDREG_VOLGNR,POS1,POS2,POS3,MIX_CD,VEILGROEP,STICKER_AFGEDRUKT0,BESTELLIJST_AFGEDRUKT,BESTELBON_AFGEDRUKT,EKT_VERSTUURD,KWALITEIT,DEPOT,OPM_VEILMEESTER,PRIJS_MIN,DATUM_EKT,KWEKER_ADMNR,AANTAL_RESTPLAAT,AFROEPPARTIJ,AANBODREFERENTIE,BARCODE,INKOOPPRIJS,PLAATNUMMER,KLEURCODE,TRANSPORTTIJD,RETAILORDER,VERVALLEN,VERVALLEN_DOOR,HANDMATIG_AFGEHANDELD,HANDELSREGELING_TOEGEPAST,EINDKLANTCODE,LANDCODE,SORTERINGSGROEPSVOLGNUMMER,STICKER_AUTOMATISCH_BIJWERKEN
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,TERRA PLANT,,False,geen_daghandel,op afroep,0,2025-01-29,,180,261.0,260295,2024-12-16,52659,102402,3,13,38,3,23,180,20,409,9,1.4500000476837158,0.0,0.0,0.0,2025-01-29,14:00:00,Logistiek Naaldwijk,,nee,lily looks,Nee,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:40:57.916000,6,0,0,0,0,0,,,,,,,,,,,121 - RL,8713783479070,nan,nan,0,0,,nan,0,,5,0,0,0,0,,0,1,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,,,nan,0
Or. gemeng,Oriental 19 mix,19 oriëntal,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-29,,1806,5797.26025390625,260322,2024-12-17,55542,109035,27,19,50,5,23,1806,86,999,21,3.2100000381469727,0.0,0.0,0.0,2025-08-29,14:00:00,Logistiek Naaldwijk,,Nee,Grandiool,Nee,,,,,,0,,,N,Eigen vervoer,35,624 CH,0.0,nan,nan,0,0,4,Bianc,0,,0.0,11:25:30.330000,10,0,0,0,0,0,,,,,,,,,,,35-lidl,8713783479070,nan,nan,0,0,,nan,0,,814,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,CH,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-18,,4096,6635.52001953125,260332,2024-12-18,55542,109034,3,17,40,3,23,4096,512,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-18,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-AT,0.0,0.0,nan,0,0,4,Bianc,0,,0.0,10:04:26.533000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,0.0,0.0,0,0,,0.0,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,0.0,1,,,,nan,,,0,0,,0,0,3,AT,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-06-30,,3072,4976.64013671875,260333,2024-12-18,55542,109034,3,17,40,3,23,3072,384,999,8,1.6200000047683716,0.0,0.0,0.0,2025-06-30,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-SI,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:04:53.792000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,SI,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-18,,20096,32555.51953125,260334,2024-12-18,55542,109034,3,17,40,3,23,20096,2512,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-18,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-GB,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:06:14.128000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,GB,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-18,,2304,3732.47998046875,260336,2024-12-18,55542,109034,3,17,40,3,23,2304,288,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-18,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-FI,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:07:26.820000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,FI,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-11,,512,829.4400024414062,260337,2024-12-18,55542,109034,3,17,40,3,23,512,64,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-11,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-LV,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:08:01.366000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,LV,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-01,,3968,6428.16015625,260338,2024-12-18,55542,109034,3,17,40,3,23,3968,496,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-01,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-SE,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:09:26.646000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,SE,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-04,,7040,11404.7998046875,260339,2024-12-18,55542,109034,3,17,40,3,23,7040,880,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-04,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-CZ,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:10:05.898000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,CZ,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-11,,13184,21358.080078125,260340,2024-12-18,55542,109034,3,17,40,3,23,13184,1648,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-11,14:00:00,Af tuin,"extra sticker - 3x rood, 1x geel, 4x oranje",nee,Lidl,Ja,,,,,,0,,,N,,174,574-PL,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:10:47.802000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,PL,nan,0
